"Age","ECC","ECC_413k_notched_out","OMEGA","OBL","Prec","EXI","ETP"
331,"0.03165","1.13610","332.43",24223,-15,"476.26","2.4399"
332,"0.03123","1.08260","316.12",24264,-22,"479.85","2.7850"
333,"0.03078","1.02610","299.81",24280,-27,"480.79","2.9928"
334,"0.03033","0.96665","283.48",24272,-29,"479.05","3.0471"
335,"0.02985","0.90452","267.12",24238,-30,"474.84","2.9379"
336,"0.02936","0.83979","250.72",24180,-28,"468.56","2.6701"
337,"0.02886","0.77255","234.27",24099,-23,"460.76","2.2565"
338,"0.02833","0.70290","217.74",23996,-17,"452.08","1.7299"
339,"0.02779","0.63113","201.14",23874,-10,"443.21","1.1200"
340,"0.02723","0.55743","184.45",23735,-2,"434.80","0.4736"
341,"0.02666","0.48180","167.66",23585,6,"427.44","-0.1725"
342,"0.02607","0.40452","150.75",23425,13,"421.58","-0.7760"
343,"0.02546","0.32561","133.74",23261,18,"417.53","-1.3090"
344,"0.02484","0.24525","116.60",23096,22,"415.45","-1.7472"
345,"0.02419","0.16364","99.35",22937,24,"415.31","-2.0802"
346,"0.02353","0.08106","81.97",22787,23,"416.92","-2.3071"
347,"0.02286","0.00238","64.47",22650,21,"419.97","-2.4375"
348,"0.02217","0.08650","46.86",22531,16,"424.01","-2.4840"
349,"0.02146","0.17120","29.13",22433,10,"428.52","-2.4720"
350,"0.02074","0.25619","11.31",22359,4,"432.98","-2.4215"
351,"0.02000","0.34118","353.38",22312,-2,"436.89","-2.3574"
352,"0.01925","0.42607","335.38",22291,-8,"439.85","-2.3000"
353,"0.01848","0.51068","317.29",22298,-13,"441.61","-2.2638"
354,"0.01771","0.59461","299.14",22333,-15,"442.09","-2.2568"
355,"0.01692","0.67757","280.92",22393,-17,"441.36","-2.2766"
356,"0.01612","0.75918","262.63",22478,-16,"439.68","-2.3180"
357,"0.01531","0.83906","244.28",22583,-14,"437.40","-2.3643"
358,"0.01450","0.91672","225.85",22707,-10,"434.92","-2.4037"
359,"0.01368","0.99119","207.34",22844,-6,"432.69","-2.4133"
360,"0.01285","1.06180","188.71",22993,-2,"431.06","-2.3848"
361,"0.01203","1.12730","169.94",23147,2,"430.33","-2.3011"
362,"0.01121","1.18580","151.00",23304,5,"430.67","-2.1651"
363,"0.01039","1.23520","131.81",23459,8,"432.12","-1.9645"
364,"0.00959","1.27240","112.32",23608,9,"434.59","-1.7249"
365,"0.00880","1.29470","92.43",23749,9,"437.87","-1.4368"
366,"0.00803","1.29950","72.02",23878,8,"441.67","-1.1430"
367,"0.00730","1.28610","50.94",23994,6,"445.61","-0.8332"
368,"0.00662","1.25630","29.00",24092,3,"449.33","-0.5587"
369,"0.00599","1.21300","6.00",24173,1,"452.47","-0.3143"
370,"0.00545","1.15980","341.73",24235,-2,"454.76","-0.1363"
371,"0.00502","1.10000","316.07",24277,-3,"456.00","-0.0208"
372,"0.00473","1.03590","289.13",24299,-4,"456.12","0.0190"
373,"0.00460","0.96919","261.33",24301,-5,"455.19","-0.0110"
374,"0.00463","0.90128","233.40",24284,-4,"453.37","-0.1024"
375,"0.00483","0.83317","206.11",24248,-2,"450.94","-0.2414"
376,"0.00516","0.76516","179.99",24194,0,"448.21","-0.4128"
377,"0.00560","0.69812","155.21",24123,2,"445.51","-0.5929"
378,"0.00611","0.63232","131.71",24038,5,"443.15","-0.7660"
379,"0.00668","0.56779","109.30",23940,6,"441.39","-0.9185"
380,"0.00728","0.50498","87.77",23831,7,"440.36","-1.0345"
381,"0.00789","0.44411","66.93",23713,7,"440.10","-1.1142"
382,"0.00852","0.38527","46.63",23589,6,"440.55","-1.1541"
383,"0.00914","0.32835","26.73",23461,4,"441.52","-1.1669"
384,"0.00975","0.27375","7.15",23331,1,"442.73","-1.1568"
385,"0.01036","0.22137","347.81",23201,-2,"443.85","-1.1435"
386,"0.01094","0.17140","328.66",23075,-6,"444.55","-1.1355"
387,"0.01152","0.12364","309.64",22954,-9,"444.52","-1.1495"
388,"0.01206","0.07840","290.74",22841,-11,"443.53","-1.1971"
389,"0.01259","0.03566","271.92",22738,-13,"441.50","-1.2901"
390,"0.01308","0.00456","253.17",22646,-13,"438.44","-1.4295"
391,"0.01356","0.04228","234.47",22568,-11,"434.55","-1.6189"
392,"0.01400","0.07749","215.81",22505,-8,"430.14","-1.8488"
393,"0.01441","0.11010","197.20",22459,-4,"425.62","-2.1084"
394,"0.01479","0.14001","178.62",22430,0,"421.42","-2.3735"
395,"0.01514","0.16731","160.08",22419,5,"418.01","-2.6218"
396,"0.01545","0.19200","141.57",22426,10,"415.75","-2.8261"
397,"0.01573","0.21400","123.10",22452,13,"414.95","-2.9632"
398,"0.01598","0.23339","104.68",22496,15,"415.75","-3.0054"
399,"0.01619","0.24998","86.30",22558,16,"418.15","-2.9448"
400,"0.01637","0.26387","67.96",22636,15,"422.02","-2.7667"
401,"0.01651","0.27497","49.68",22728,13,"427.04","-2.4844"
402,"0.01662","0.28336","31.45",22834,9,"432.81","-2.1057"
403,"0.01670","0.28905","13.27",22950,4,"438.85","-1.6584"
