Age,ECC,ECC_413k_notched_out,OMEGA,OBL,Prec,EXI,ETP,EXI_WM
1929,0.03727,,243.81,23.08,-0.033,455.63,,483.49
1930,0.03765,,226.67,23.15,-0.027,447.75,,474.73
1931,0.03798,,209.54,23.227,-0.019,438.98,,465.01
1932,0.03825,,192.43,23.309,-0.008,430.2,,455.28
1933,0.03848,,175.35,23.393,0.003,422.32,,446.48
1934,0.03866,,158.28,23.479,0.014,416.09,,439.45
1935,0.03878,,141.25,23.564,0.024,412.16,,434.86
1936,0.03886,,124.24,23.646,0.032,410.92,,433.13
1937,0.03889,,107.25,23.724,0.037,412.56,,434.46
1938,0.03887,,90.29,23.794,0.039,417,,438.76
1939,0.0388,,73.35,23.856,0.037,423.93,,445.73
1940,0.03869,,56.43,23.908,0.032,432.82,,454.8
1941,0.03853,,39.52,23.948,0.025,442.93,,465.2
1942,0.03832,,22.63,23.975,0.015,453.4,,476.04
1943,0.03807,,5.73,23.988,0.004,463.29,,486.35
1944,0.03778,,348.84,23.986,-0.007,471.69,,495.18
